RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2025-06-30,2025-08-31,2026-05-31
395149,777,"Taos, NM",msa,NM,2025-05-31,-0.6,-1.8,-5.1
394419,778,"Brookings, SD",msa,SD,2025-05-31,-0.1,-0.5,-0.8
394324,779,"Americus, GA",msa,GA,2025-05-31,0.0,0.1,0.2
394491,780,"Columbus, NE",msa,NE,2025-05-31,0.3,0.3,0.5
395150,781,"Taylorville, IL",msa,IL,2025-05-31,0.9,0.4,-0.8
394335,782,"Arcadia, FL",msa,FL,2025-05-31,-0.5,-1.1,-0.3
394786,783,"Lewisburg, TN",msa,TN,2025-05-31,0.1,0.0,0.2
395084,784,"Seneca Falls, NY",msa,NY,2025-05-31,0.1,0.5,1.5
394533,785,"Dickinson, ND",msa,ND,2025-05-31,0.2,-0.7,-3.2
395207,787,"Washington, IN",msa,IN,2025-05-31,0.2,0.1,0.4
395165,788,"Troy, AL",msa,AL,2025-05-31,-0.4,-1.3,-4.5
753902,789,"Malvern, AR",msa,AR,2025-05-31,-0.4,-0.9,-2.8
394613,790,"Frankfort, IN",msa,IN,2025-05-31,-0.1,-0.3,1.4
394815,791,"Madison, IN",msa,IN,2025-05-31,0.1,0.2,1.1
394414,792,"Brevard, NC",msa,NC,2025-05-31,0.1,0.6,3.4
395141,793,"Susanville, CA",msa,CA,2025-05-31,0.0,-0.7,-3.4
394835,794,"Martin, TN",msa,TN,2025-05-31,0.2,0.3,1.2
394984,795,"Plainview, TX",msa,TX,2025-05-31,-1.0,-2.4,-6.9
753878,797,"Dayton, TN",msa,TN,2025-05-31,-0.2,-0.6,-0.2
753892,798,"Jackson, OH",msa,OH,2025-05-31,-0.7,-1.0,-2.1
394433,799,"Cambridge, MD",msa,MD,2025-05-31,-0.3,-0.7,-0.9
394962,800,"Paris, TN",msa,TN,2025-05-31,-0.2,-0.5,-0.1
394730,802,"Juneau, AK",msa,AK,2025-05-31,0.2,-0.2,-2.7
394481,803,"Coffeyville, KS",msa,KS,2025-05-31,-0.9,-1.6,-2.2
394774,804,"Las Vegas, NM",msa,NM,2025-05-31,-0.8,-2.1,-4.5
394383,805,"Berlin, NH",msa,NH,2025-05-31,-0.2,-0.7,2.5
394473,806,"Cleveland, MS",msa,MS,2025-05-31,-2.0,-5.1,-13.4
394670,807,"Hastings, NE",msa,NE,2025-05-31,0.1,-0.3,-1.2
394376,808,"Beeville, TX",msa,TX,2025-05-31,-1.3,-3.2,-9.6
394749,809,"Kingsville, TX",msa,TX,2025-05-31,-0.2,-1.0,-4.5
395196,810,"Wabash, IN",msa,IN,2025-05-31,0.1,-0.1,0.4
753871,811,"Breckenridge, CO",msa,CO,2025-05-31,-0.6,-1.3,-2.5
394310,814,"Albert Lea, MN",msa,MN,2025-05-31,0.1,-0.3,-0.4
395093,815,"Sheridan, WY",msa,WY,2025-05-31,0.2,-0.2,-0.6
395176,816,"Union City, TN",msa,TN,2025-05-31,0.0,-0.1,-0.1
394855,817,"Miami, OK",msa,OK,2025-05-31,-1.4,-2.3,-1.8
394708,818,"Iron Mountain, MI",msa,MI,2025-05-31,-0.1,-0.8,-1.6
394725,819,"Jesup, GA",msa,GA,2025-05-31,0.0,-0.1,0.1
394846,820,"McPherson, KS",msa,KS,2025-05-31,-0.4,-1.2,-2.6
394751,821,"Kirksville, MO",msa,MO,2025-05-31,0.0,-0.6,-2.2
753901,822,"Ludington, MI",msa,MI,2025-05-31,-0.1,-0.4,-0.3
394356,823,"Bainbridge, GA",msa,GA,2025-05-31,-0.9,-1.6,-2.0
394320,824,"Alpena, MI",msa,MI,2025-05-31,-0.7,-2.0,-1.8
395206,825,"Washington Court House, OH",msa,OH,2025-05-31,-0.2,-0.5,-0.3
394673,826,"Hays, KS",msa,KS,2025-05-31,0.2,0.1,-1.1
394606,827,"Fort Morgan, CO",msa,CO,2025-05-31,-0.1,-0.8,-2.2
395185,828,"Van Wert, OH",msa,OH,2025-05-31,0.1,0.1,1.4
394740,830,"Kennett, MO",msa,MO,2025-05-31,-1.3,-2.9,-8.0
753926,831,"Weatherford, OK",msa,OK,2025-05-31,0.3,0.2,-0.5
394892,832,"Mountain Home, ID",msa,ID,2025-05-31,-0.1,-0.4,1.4
394864,833,"Mineral Wells, TX",msa,TX,2025-05-31,-0.2,-1.0,-1.1
394795,834,"Lincoln, IL",msa,IL,2025-05-31,0.0,-1.4,-4.5
395100,835,"Silver City, NM",msa,NM,2025-05-31,-1.0,-2.0,-4.2
753879,836,"Elkins, WV",msa,WV,2025-05-31,-0.5,-1.5,-2.4
394812,838,"Macomb, IL",msa,IL,2025-05-31,-0.5,-1.9,-5.3
394435,839,"Camden, AR",msa,AR,2025-05-31,-1.0,-2.2,-6.4
394508,840,"Crescent City, CA",msa,CA,2025-05-31,-0.4,-1.3,-2.6
394921,841,"North Vernon, IN",msa,IN,2025-05-31,-0.1,-0.3,0.5
395154,843,"Thomaston, GA",msa,GA,2025-05-31,-0.4,0.0,3.3
394642,845,"Grants, NM",msa,NM,2025-05-31,-0.1,-0.8,-1.1
394381,846,"Bennettsville, SC",msa,SC,2025-05-31,-3.0,-6.0,-12.9
394615,847,"Fredericksburg, TX",msa,TX,2025-05-31,-0.3,-1.4,-1.8
395159,848,"Toccoa, GA",msa,GA,2025-05-31,-0.3,0.1,2.9
753923,849,"The Dalles, OR",msa,OR,2025-05-31,-0.3,-0.9,-1.4
394649,850,"Greensburg, IN",msa,IN,2025-05-31,0.2,0.0,0.0
394706,851,"Indianola, MS",msa,MS,2025-05-31,-2.6,-4.9,-10.1
394758,852,"La Grande, OR",msa,OR,2025-05-31,0.6,0.6,1.2
753909,854,"Ottawa, KS",msa,KS,2025-05-31,0.1,0.2,1.4
394912,855,"New Ulm, MN",msa,MN,2025-05-31,0.2,0.1,-0.3
394791,856,"Lexington, NE",msa,NE,2025-05-31,0.3,0.1,-0.1
394643,857,"Great Bend, KS",msa,KS,2025-05-31,-0.7,-1.2,-1.3
395110,858,"Spearfish, SD",msa,SD,2025-05-31,0.0,-0.3,0.5
395214,859,"Wauchula, FL",msa,FL,2025-05-31,-0.2,0.2,2.6
394830,860,"Marshall, MN",msa,MN,2025-05-31,0.0,-0.7,-2.5
394529,861,"Deming, NM",msa,NM,2025-05-31,-1.3,-2.6,-5.4
394854,862,"Mexico, MO",msa,MO,2025-05-31,0.2,0.0,0.3
394584,863,"Fallon, NV",msa,NV,2025-05-31,0.0,-0.3,-0.5
394322,864,"Altus, OK",msa,OK,2025-05-31,-1.4,-2.4,-3.0
395181,865,"Uvalde, TX",msa,TX,2025-05-31,-0.8,-1.9,-4.8
753884,866,"Hailey, ID",msa,ID,2025-05-31,0.0,-0.2,2.2
753921,867,"Steamboat Springs, CO",msa,CO,2025-05-31,-0.1,-0.2,3.2
395138,868,"Summerville, GA",msa,GA,2025-05-31,-0.7,-1.4,-0.6
394869,869,"Moberly, MO",msa,MO,2025-05-31,-0.3,-0.6,-0.1
394858,870,"Middlesborough, KY",msa,KY,2025-05-31,-0.7,-2.8,-8.0
395236,871,"Woodward, OK",msa,OK,2025-05-31,-0.6,-1.2,-4.9
395004,872,"Prineville, OR",msa,OR,2025-05-31,-0.2,-0.6,-0.8
394687,875,"Hood River, OR",msa,OR,2025-05-31,-0.5,-1.1,-1.6
394601,876,"Forrest City, AR",msa,AR,2025-05-31,-1.1,-2.0,-7.2
394494,877,"Connersville, IN",msa,IN,2025-05-31,-0.1,-0.4,1.7
394868,878,"Mitchell, SD",msa,SD,2025-05-31,0.2,0.0,-0.1
394831,879,"Marshall, MO",msa,MO,2025-05-31,-0.2,-1.1,-4.8
394418,880,"Brookings, OR",msa,OR,2025-05-31,-0.3,-0.9,-2.3
